FIPS,HAVI,HAVI_level,factor_variable,factor_label,domain,factor_weight,havi_component_value,weighted_contribution,signed_pct_contribution,abs_pct_contribution,direction
16071,40.19372606768119,Low Vulnerability,rural_pct_havi,Rural Population,SDOH,0.044444444444444446,1.0692872735364067,0.0475238788238403,6.9581227502691325,6.9581227502691325,Increases HAVI
16071,40.19372606768119,Low Vulnerability,ACS_PCT_HH_LIMIT_ENGLISH_havi,Limited English,SDOH,0.044444444444444446,-0.5951850531814237,-0.026452669030285498,-3.8730196848459957,3.8730196848459957,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,ACS_PCT_UNINSURED_havi,Uninsured,SDOH,0.044444444444444446,-0.4644778934050361,-0.020643461929112716,-3.0224751356199735,3.0224751356199735,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,transport_vulnerability_havi,Transportation Vulnerability,SDOH,0.044444444444444446,-0.1120367898628511,-0.004979412882793383,-0.7290517297878268,0.7290517297878268,Lowers HAVI
16071,40.19372606768119,Low Vulnerability,POS_MEDIAN_DIST_CLINIC_havi,Distance to Clinic,SDOH,0.044444444444444446,-0.4710896513499761,-0.020937317837776716,-3.0654995169200596,3.0654995169200596,Lowers HAVI
16073,62.91698063477999,Very High Vulnerability,primary_care_providers_per_10k_havi,Primary Care Providers,Supply,0.049999999999999996,1.336497743847615,0.06682488719238075,8.452684585786091,8.452684585786091,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,dentists_per_10k_havi,Dentists,Supply,0.049999999999999996,0.5098260955099028,0.025491304775495136,3.224396897627245,3.224396897627245,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,mental_health_providers_per_10k_havi,Mental Health Providers,Supply,0.049999999999999996,0.5661952409447674,0.028309762047238365,3.580903752146515,3.580903752146515,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,beds_per_1000_havi,Hospital Beds,Supply,0.049999999999999996,0.7657814078666233,0.03828907039333116,4.843187152505815,4.843187152505815,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,hospitals_per_100k_havi,Hospitals,Supply,0.049999999999999996,0.6495661390395345,0.032478306951976725,4.108183284396239,4.108183284396239,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,clinics_per_100k_havi,Rural Health Clinics,Supply,0.0,0.6905408985631868,0.0,0.0,0.0,Lowers HAVI
16073,62.91698063477999,Very High Vulnerability,critical_access_per_100k_havi,Critical Access Hospitals,Supply,0.0,0.4620409369546357,0.0,0.0,0.0,Lowers HAVI
16073,62.91698063477999,Very High Vulnerability,POS_FQHC_RATE_havi,FQHC Access,Supply,0.049999999999999996,-1.06312880545911,-0.05315644027295549,-6.723761793071907,6.723761793071907,Lowers HAVI
16073,62.91698063477999,Very High Vulnerability,ACS_PCT_AGE_ABOVE65_havi,Older Adults,Demand,0.075,-0.1902290341014556,-0.01426717755760917,-1.804656272395869,1.804656272395869,Lowers HAVI
16073,62.91698063477999,Very High Vulnerability,disease_burden_composite_havi,Disease Burden,Demand,0.075,0.0226002581322349,0.0016950193599176175,0.21440311563770578,0.21440311563770578,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,ACS_PCT_AGE_0_4_havi,Children Under 5,Demand,0.075,0.4131901035796674,0.030989257768475054,3.9198333505665413,3.9198333505665413,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,ACS_PCT_DISABLE_havi,Disability,Demand,0.075,0.3311998993511887,0.024839992451339152,3.142012356863613,3.142012356863613,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,pers_povty_pct_23_havi,Poverty,SDOH,0.044444444444444446,-0.4943147120068858,-0.021969542755861594,-2.778928977083453,2.778928977083453,Lowers HAVI
16073,62.91698063477999,Very High Vulnerability,ACS_PCT_UNEMPLOY_havi,Unemployment,SDOH,0.044444444444444446,-1.159586122261942,-0.05153716098941964,-6.518939044914887,6.518939044914887,Lowers HAVI
16073,62.91698063477999,Very High Vulnerability,ACS_PCT_RENTER_HU_COST_30PCT_havi,Housing Burden,SDOH,0.044444444444444446,-1.1921823743558155,-0.05298588330470291,-6.702188030404764,6.702188030404764,Lowers HAVI
16073,62.91698063477999,Very High Vulnerability,ACS_PCT_HH_NO_INTERNET_havi,No Internet,SDOH,0.044444444444444446,0.0522896859567719,0.0023239860425231956,0.2939611546618159,0.2939611546618159,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,rural_pct_havi,Rural Population,SDOH,0.044444444444444446,1.0692872735364067,0.0475238788238403,6.011298707240355,6.011298707240355,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,ACS_PCT_HH_LIMIT_ENGLISH_havi,Limited English,SDOH,0.044444444444444446,2.4284217769796586,0.1079298567546515,13.65205501821127,13.65205501821127,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,ACS_PCT_UNINSURED_havi,Uninsured,SDOH,0.044444444444444446,2.5243007125020367,0.1121911427778683,14.19106538092801,14.19106538092801,Increases HAVI
16073,62.91698063477999,Very High Vulnerability,transport_vulnerability_havi,Transportation Vulnerability,SDOH,0.044444444444444446,-1.0401468773595954,-0.04622875010487091,-5.847477786332169,5.847477786332169,Lowers HAVI
16073,62.91698063477999,Very High Vulnerability,POS_MEDIAN_DIST_CLINIC_havi,Distance to Clinic,SDOH,0.044444444444444446,-0.709750780492643,-0.031544479133006356,-3.9900633392257356,3.9900633392257356,Lowers HAVI
16075,50.10570938528237,Moderate Vulnerability,primary_care_providers_per_10k_havi,Primary Care Providers,Supply,0.0375,-0.6283230927519114,-0.023562115978196678,-5.396921621597884,5.396921621597884,Lowers HAVI
16075,50.10570938528237,Moderate Vulnerability,dentists_per_10k_havi,Dentists,Supply,0.0375,-0.1190756441789456,-0.00446533665671046,-1.0227889537855803,1.0227889537855803,Lowers HAVI
16075,50.10570938528237,Moderate Vulnerability,mental_health_providers_per_10k_havi,Mental Health Providers,Supply,0.0375,0.5661952409447674,0.021232321535428776,4.8632803300565035,4.8632803300565035,Increases HAVI
16075,50.10570938528237,Moderate Vulnerability,beds_per_1000_havi,Hospital Beds,Supply,0.0375,0.7657814078666233,0.028716802794998372,6.57760678416586,6.57760678416586,Increases HAVI
16075,50.10570938528237,Moderate Vulnerability,hospitals_per_100k_havi,Hospitals,Supply,0.0375,0.6495661390395345,0.024358730213982546,5.579386753216953,5.579386753216953,Increases HAVI
16075,50.10570938528237,Moderate Vulnerability,clinics_per_100k_havi,Rural Health Clinics,Supply,0.0375,0.2115762773958845,0.007934110402345668,1.8173143710092723,1.8173143710092723,Increases HAVI
16075,50.10570938528237,Moderate Vulnerability,critical_access_per_100k_havi,Critical Access Hospitals,Supply,0.0375,0.4620409369546357,0.017326535135798838,3.968656812838799,3.968656812838799,Increases HAVI
16075,50.10570938528237,Moderate Vulnerability,POS_FQHC_RATE_havi,FQHC Access,Supply,0.0375,0.0552296185441698,0.0020711106954063676,0.4743895710854035,0.4743895710854035,Increases HAVI
16075,50.10570938528237,Moderate Vulnerability,ACS_PCT_AGE_ABOVE65_havi,Older Adults,Demand,0.075,-0.1562891394959717,-0.011721685462197878,-2.684861485744498,2.684861485744498,Lowers HAVI
16075,50.10570938528237,Moderate Vulnerability,disease_burden_composite_havi,Disease Burden,Demand,0.075,-0.536202407509462,-0.04021518056320965,-9.21131946294155,9.21131946294155,Lowers HAVI
16075,50.10570938528237,Moderate Vulnerability,ACS_PCT_AGE_0_4_havi,Children Under 5,Demand,0.075,0.7839723217451159,0.05879792413088369,13.467711827778073,13.467711827778073,Increases HAVI
16075,50.10570938528237,Moderate Vulnerability,ACS_PCT_DISABLE_havi,Disability,Demand,0.075,-0.0039457799282584,-0.00029593349461938,-0.06778380503449966,0.06778380503449966,Lowers HAVI
16075,50.10570938528237,Moderate Vulnerability,pers_povty_pct_23_havi,Poverty,SDOH,0.044444444444444446,-0.605925574483072,-0.026930025532580983,-6.168344014665736,6.168344014665736,Lowers HAVI
16075,50.10570938528237,Moderate Vulnerability,ACS_PCT_UNEMPLOY_havi,Unemployment,SDOH,0.044444444444444446,-0.6220708812368476,-0.027647594721637674,-6.332703814736158,6.332703814736158,Lowers HAVI
